Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
9700,125,125,0,0
9712,113,113,0,0
9705,120,120,0,0
9700,125,125,0,0
9693,132,132,1,0
9741,84,84,0,0
9736,89,89,0,0
9718,107,107,0,0
9722,103,103,0,0
9736,89,89,0,0
9741,84,84,0,0
9761,64,64,0,0
9744,81,81,0,0
9771,54,54,0,0
9775,50,50,0,0
9743,82,82,0,0
9735,90,90,0,0
9755,70,70,0,0
9781,44,44,0,0
9765,60,60,0,0
9766,59,59,0,0
9793,32,32,0,0
9763,62,62,0,0
9793,32,32,0,0
9791,34,34,0,0
9792,33,33,0,0
9783,42,42,0,0
9778,47,47,0,0
9780,45,45,0,0
9792,33,33,0,0
9791,34,34,0,0
9794,31,31,0,0
9807,18,18,0,0
9796,29,29,0,0
9794,31,31,0,0
9806,19,19,0,0
9808,17,17,0,0
9807,18,18,0,0
9797,28,28,0,0
9781,44,44,0,0
9776,49,49,0,0
9819,6,6,0,0
9828,-3,-3,0,0
9798,27,27,0,0
9795,30,30,0,0
9800,25,25,0,0
9796,29,29,0,0
9801,24,24,0,0
9807,18,18,0,0
9798,27,27,0,0
9772,53,53,0,0
9762,63,63,0,0
9794,31,31,0,0
9813,12,12,0,0
9807,18,18,0,0
9794,31,31,0,0
9804,21,21,0,0
9805,20,20,0,0
9796,29,29,0,0
9807,18,18,0,0
9812,13,13,0,0
9806,19,19,0,0
9796,29,29,0,0
9795,30,30,0,0
9783,42,42,0,0
9824,1,1,0,0
9825,0,0,0,0
9803,22,22,0,0
9823,2,2,0,0
9816,9,9,0,0
9824,1,1,0,0
9825,0,0,0,0
9835,-10,-10,0,0
9817,8,8,0,0
9814,11,11,0,0
9813,12,12,0,0
9809,16,16,0,0
9843,-18,-18,0,0
9833,-8,-8,0,0
9847,-22,-22,0,0
9856,-31,-31,0,0
9841,-16,-16,0,0
9837,-12,-12,0,0
