Channel 1,Channel 2, Channel 3
9850,-16,-6
9867,-22,-12
9854,-18,-17
9862,-22,-19
9872,-28,-22
9870,-30,-24
9874,-35,-28
9859,-35,-32
9847,-28,-32
9849,-18,-29
9874,-18,-24
9872,-24,-22
9871,-35,-23
9870,-35,-28
9886,-35,-32
9862,-34,-34
9873,-35,-34
9876,-38,-35
9869,-35,-35
9875,-38,-36
9865,-36,-36
9875,-36,-36
9881,-39,-37
9881,-42,-38
9883,-45,-40
9872,-45,-42
9885,-46,-44
9880,-45,-45
9884,-46,-45
9864,-46,-45
9846,-36,-43
9845,-19,-36
9886,-19,-30
9885,-29,-25
9878,-45,-28
9883,-48,-35
9873,-44,-41
9861,-39,-44
9884,-42,-43
9892,-42,-41
9881,-46,-42
9868,-46,-44
9860,-38,-43
9854,-28,-39
9888,-28,-35
9877,-32,-31
9878,-41,-32
9878,-42,-35
9871,-41,-39
9876,-41,-41
9885,-41,-41
9898,-44,-41
9884,-48,-43
9882,-48,-45
9860,-47,-46
9848,-35,-44
9879,-33,-40
9891,-33,-37
9885,-46,-36
9880,-46,-39
9899,-52,-44
9890,-51,-48
9901,-58,-51
9896,-61,-55
9899,-61,-57
9884,-61,-60
9881,-54,-59
9859,-46,-55
9894,-46,-51
9904,-51,-49
9904,-63,-51
9892,-63,-55
9910,-68,-61
9891,-62,-64
9913,-65,-64
9906,-72,-66
9913,-73,-68
9905,-73,-70
9887,-69,-71
9860,-60,-68
9900,-57,-64
9911,-57,-60
9909,-68,-60
9896,-68,-62
9918,-74,-66
9891,-66,-69
9911,-67,-68
9906,-72,-69
9909,-71,-69
9909,-73,-70
9889,-71,-71
9886,-63,-69
9865,-51,-64
9900,-51,-59
9914,-57,-55
9892,-60,-54
9892,-60,-57
9914,-67,-61
9920,-67,-63
9920,-81,-68
9899,-81,-74
9918,-83,-78
9892,-72,-79
9867,-59,-73
9890,-55,-67
9916,-55,-60
9919,-67,-59
9900,-72,-62
9932,-81,-68
9921,-84,-76
9925,-87,-81
9910,-87,-84
9902,-79,-84
9893,-70,-80
9907,-68,-76
9876,-61,-69
9868,-48,-61
9923,-55,-58
9918,-61,-56
9898,-72,-59
9908,-77,-66
9897,-67,-69
9920,-67,-70
9917,-76,-71
9921,-82,-73
9891,-82,-76
9896,-70,-77
9873,-57,-72
9918,-57,-66
9917,-70,-63
9905,-75,-64
9912,-78,-70
9938,-78,-75
9903,-72,-75
9928,-84,-78
9929,-92,-81
9929,-92,-85
9917,-92,-90
9921,-89,-91
9886,-83,-89
9892,-68,-83
9929,-70,-77
9909,-64,-71
9930,-83,-71
9912,-84,-75
9928,-84,-78
9927,-91,-85
9925,-90,-87
9924,-90,-88
9923,-88,-89
9912,-87,-88
9945,-87,-88
9920,-85,-86
9898,-80,-84
9908,-78,-82
9890,-67,-77
9873,-58,-70
9863,-45,-62
9846,-32,-50
9829,-18,-38
9819,-1,-24
9797,12,-9
9769,28,5
9766,53,23
9787,58,37
9780,61,50
9776,58,57
9762,58,58
9792,58,58
9785,55,57
9803,47,54
9788,46,51
9824,40,47
9805,32,41
9811,28,36
9809,26,31
9808,27,28
9835,26,26
9821,21,25
9840,8,20
9843,-1,13
9851,-5,5
9837,-5,0
9861,-11,-5
9856,-17,-9
9865,-22,-13
9846,-22,-18
9848,-16,-19
9844,-11,-17
9869,-11,-15
9872,-22,-15
9874,-34,-19
9867,-34,-25
9861,-33,-30
9866,-30,-32
9861,-27,-31
9884,-27,-29
9881,-37,-30
9868,-38,-32
